"","Player","Age","Pos","Tgt","Rec","Yds","X1D","YBC","YAC","ADOT","BrkTkl","Succ.","TD","YBC_R","YAC_R","Rec_Brk"
"1","Ja'Marr Chase",24,"WR",175,127,1708,75,921,787,8.7,11,62.3,17,7.3,6.2,11.5
"2","Amon-Ra St. Brown",25,"WR",141,115,1263,73,851,412,7.7,3,70.2,12,7.4,3.6,38.3
"3","Brock Bowers",22,"TE",153,112,1194,61,598,596,6.1,6,60.8,5,5.3,5.3,18.7
"4","Trey McBride",25,"TE",147,111,1146,63,633,513,6.1,5,63.3,2,5.7,4.6,22.2
"5","Malik Nabers",21,"WR",170,109,1204,55,742,462,9.1,8,51.2,7,6.8,4.2,13.6
"6","Justin Jefferson",25,"WR",154,103,1533,62,1046,487,10.9,5,57.1,10,10.2,4.7,20.6
"7","CeeDee Lamb",25,"WR",152,101,1194,54,657,537,7.6,11,50,6,6.5,5.3,9.2
"8","Garrett Wilson",24,"WR",154,101,1104,60,662,442,9.1,7,53.9,7,6.6,4.4,14.4
"9","Drake London",23,"WR",158,100,1271,67,944,327,10.9,6,56.3,9,9.4,3.3,16.7
"10","Jaxon Smith-Njigba",22,"WR",137,100,1130,57,653,477,8.7,4,58.4,6,6.5,4.8,25
"11","D.J. Moore",27,"WR",140,98,966,43,378,588,7.5,5,47.1,6,3.9,6,19.6
"12","Travis Kelce",35,"TE",133,97,823,47,482,341,6.4,3,60.2,3,5,3.5,32.3
"13","Wan'Dale Robinson",23,"WR",140,93,699,36,338,361,4.8,9,42.1,3,3.6,3.9,10.3
"14","Jerry Jeudy",25,"WR",145,90,1229,57,842,387,11.1,0,53.8,4,9.4,4.3,Inf
"15","Jonnu Smith",29,"TE",111,88,884,55,374,510,4.9,8,63.1,8,4.2,5.8,11
"16","Jakobi Meyers",28,"WR",129,87,1027,52,734,293,9.6,4,55.8,4,8.4,3.4,21.8
"17","Brian Thomas",22,"WR",133,87,1282,53,720,562,11.4,0,55.6,10,8.3,6.5,Inf
"18","Davante Adams",32,"WR",141,85,1063,49,590,473,8.2,7,46.8,8,6.9,5.6,12.1
"19","Davante Adams",32,"WR",141,85,1063,49,590,473,8.2,7,51.9,1,6.9,5.6,12.1
"20","Davante Adams",32,"WR",141,85,1063,49,590,473,8.2,7,45.6,7,6.9,5.6,12.1
"21","Davante Adams",32,"WR",27,18,209,10,164,45,9.6,0,46.8,8,9.1,2.5,Inf
"22","Davante Adams",32,"WR",27,18,209,10,164,45,9.6,0,51.9,1,9.1,2.5,Inf
"23","Davante Adams",32,"WR",27,18,209,10,164,45,9.6,0,45.6,7,9.1,2.5,Inf
